Endereço;Preço;Área (m2);Quartos;Banheiros;Garagem
Rua 146;R$ 1.500.000;140;3;4;2
Rua 148;R$ 2.700.000;218;3;5;3
Rua 1121;R$ 1.490.000;147;3;4;3
Rua 139;R$ 589.000;47;1;1;1
Alameda Ricardo Paranhos;R$ 988.000;121;3;4;2
;R$ 868.527;88;3;2;1
Rua 1141;R$ 1.199.000;111;3;4;1-2
Rua 146;R$ 1.400.000;140;3;4;0
Rua Mário Bittar;R$ 756.000;51;1;1;1
Alameda Coronel Eugênio Jardim;R$ 3.720.000;245;3;6;3
Rua 147;R$ 1.490.000;115;3;4;2
Rua 137;R$ 780.000;69;2;2;1
Rua Amélia Artiaga Jardim;R$ 750.000;72;2;2;0
Rua 38;R$ 1.160.000;129;3;4;2
Rua 145;R$ 990.000;133;3;5;3
Rua 22;R$ 332.000;38;1;1;1
Rua 148;R$ 2.999.990;218;3-4;5-6;3
Rua 1126;R$ 2.650.000;245;4;5;4
Avenida D;R$ 1.500.000;121;3;4;2
Rua 135;R$ 817.722;77;2;2;1
Rua Amélia Artiaga Jardim;R$ 1.230.000;116;3;4;2
Rua 1138;R$ 1.550.000;120;3;3;2
